Symbol,Name,Inception,Structure,Tracks This Index,Index Description,Category,Provider,Expense Ratio,Dividend,Div Yield,Market Cap (millions),Shares (millions),Avg Vol,Beta,Asset Class,Asset Class Size,Asset Class Style,Region,Basic Materials,Communication Services,Consumer Cyclical,Consumer Defensive,Energy,Financial Services,Health Care,Industrials,Real Estate,Technology,Utilities,Leveraged,Inverse,Top Holdings,Chart,,,,,,,,,,,,,
AYT,GEMS Asia 8 ETN,2008-04-02,ETN,Barclays Global Emerging Market Strategy (GEMS) Asia 8 Index,"The index is designed to replicate exposure to local currencies in eight Asian markets through short-term, liquid and diversified instruments. Currently, the index includes the following eight currencies: the Indonesian rupiah, the Indian rupee, the Philippine peso, the South Korean won, the Thai baht, the Malaysian ringgit, the Taiwanese dollar and the Chinese yuan.",Currency,Barclays iPath,0.89%,$0.10,2.24%,$9.60 ,0.2," 3,451 ", (1.32),Currency,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
AZIA,Global X Central Asia & Mongolia Index ETF,2013-04-02,ETF,Solactive Central Asia & Mongolia Index,"The index is designed to reflect the broad based equity performance of Central Asia. The index is comprised of companies that are domiciled in, principally traded in or whose revenues are primarily from Mongolia, Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, and Uzbekistan. The stocks are screened for liquidity and weighted according to modified free-float market capitalization.",Emerging Markets Equities,Global X,0.69%,,,$2.00 ,0.2," 5,181 ", (1.84),Equity,Multi-Cap,,Emerging Asia Pacific,40.66%,12.25%,0.00%,0.00%,36.73%,12.61%,0.00%,0.00%,0.00%,0.00%,0.00%,,,click,click,,,,,,,,,,,,,
BAB,Build America Bond Portfolio,2009-11-17,ETF,BofA Merrill Lynch Build America Bond Index,"The Index is designed to track the performance of U.S. dollar-denominated Build America Bonds publicly issued by U.S. states and territories, and their political subdivisions, in the U.S. market.",National Munis,Invesco PowerShares,0.35%,$0.12,5.15%,$600.40 ,21.9," 168,958 ", (0.65),Bond,,,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
BABS,SPDR Nuveen Barclays Capital Build America Bond ETF,2010-05-12,ETF,Barclays Capital Build America Bond Index,The index consists of all direct pay Build America Bonds that satisfy the rules of the Barclays Capital Taxable Municipal Index.,National Munis,State Street SPDR,0.35%,$0.22,4.73%,$43.80 ,0.8," 5,817 ", 0.94 ,Bond,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
BABZ,Build America Bond Strategy Fund,2010-09-20,ETF,,This ETF is not linked to a specific benchmark.,National Munis,PIMCO,0.45%,$0.16,4.70%,$21.80 ,0.5," 4,921 ", (1.46),Bond,,,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
BAL,Dow Jones-UBS Cotton Total Return Sub-Index ETN,2008-06-24,ETN,Dow Jones-UBS Cotton Subindex Total Return,The index is a single-commodity sub-index currently consisting of one futures contract on the commodity of cotton.,Agricultural Commodities,Barclays iPath,0.75%,,,$23.30 ,0.4," 9,805 ", 1.35 ,Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
BARL,S&P 500 Crude Oil Linked ETN,2011-06-29,ETN,S&P 500 Oil Hedged Index,The index provides exposure to the S&amp;P 500 Total Return Index and an equal weighted combination of near-term NYMEX West Texas Intermediate Light Sweet Crude and ICE Brent Crude Oil futures contracts.,Large Cap Blend Equities,Morgan Stanley,0.79%,,,$16.00 ,0.4," 4,454 ", 6.73 ,Equity,Large-Cap,Blend,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
BARN,Farming ETF,2011-06-02,ETF,Solactive Global Farming Index,"This benchmark is designed to reflect the performance of the farming industry. It is comprised of common stocks, ADRs and GDRs of selected companies globally that are primarily engaged in agriproduct or livestock operations or in the manufacture, sale or distribution of farming products.",Commodity Producers Equities,Global X,0.68%,$0.10,0.69%,$2.90 ,0.2," 3,435 ", 1.67 ,Equity,,,Global,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
BBH,Market Vectors Biotech ETF,2011-12-20,ETF,Market Vectors US Listed Biotech 25 Index,"The Index is a rules-based index intended to track the overall performance of 25 of the largest U.S. listed, publicly traded biotech companies.",Health &amp; Biotech Equities,Van Eck,0.35%,$0.00,0.21%,$485.10 ,5.5," 85,159 ", 1.98 ,Equity,,,North America,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.04%,0.00%,0.00%,0.00%,0.00%,,,click,click,,,,,,,,,,,,,
BBRC,Beyond BRICs ETF,2012-08-15,ETF,Indxx Beyond BRICs Index,"This index is a free-float market capitalization weighted index of 50 stocks from a universe that includes Chile, Colombia, Czech Republic, Egypt, Hungary, Indonesia, Malaysia, Morocco, Mexico, Peru, Philippines, Poland, South Africa, Thailand and Turkey.",Emerging Markets Equities,EG Shares,0.85%,$0.11,0.53%,$22.10 ,1.1," 12,519 ", (1.27),Equity,,,Emerging Markets,6.44%,23.55%,9.96%,5.46%,10.58%,34.80%,0.00%,5.26%,0.00%,0.00%,3.95%,,,click,click,,,,,,,,,,,,,
BBVX,ETRACS Daily Short 2-Month S&P 500 VIX Futures ETN,2011-09-08,ETN,S&P 500 VIX 2-Month Futures Index ER (-100%),"The index is an excess return index and is composed of futures contracts on the CBOE Volatility Index having a constant weighted average maturity of two months . The index is a rolling index, which rolls on a daily basis according to a pre-determined schedule that has the effect of keeping constant the weighted average maturity of the underlying futures contracts.",Volatility,UBS,1.35%,,,$18.80 ,0.1," 1,737 ", 5.72 ,Alternatives,,,,,,,,,,,,,,,,Yes,click,click,,,,,,,,,,,,,
BCM,Pure Beta Broad Commodity ETN,2011-04-21,ETN,Barclays Capital Commodity Index Pure Beta TR,"The index is comprised of a basket of exchange traded futures contracts. However, unlike many commodity indices which roll their exposure to the corresponding futures contract on a monthly basis in accordance with a pre-determined roll schedule, the Index may roll into one of a number of futures contracts with varying expiration dates, as selected using the Barclays Capital Pure Beta Series 2 Methodology.",Commodities,Barclays iPath,0.75%,,,$95.40 ,2.4," 48,898 ", (1.09),Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
BDCL,E-TRACS 2xLeveraged Long Wells Fargo Business Development Company ETN,2011-05-25,ETN,Wells Fargo Business Development Company Index (200%),"The index is a float adjusted, capitalization-weighted Index that is intended to measure the performance of all Business Development Companies that are listed on the New York Stock Exchange or NASDAQ and satisfy specified market capitalization and other eligibility requirements. To qualify as a BDC, the company must be registered with the Securities and Exchange Commission and have elected to be regulated as a BDC under the Investment Company Act of 1940.",Leveraged Equities,UBS,0.85%,$1.00,13.77%,$151.30 ,5.1," 68,155 ", 2.24 ,Equity,,,North America,,,,,,,,,,,,2x,,click,click,,,,,,,,,,,,,
BDCS,E-TRACS Linked to the Wells Fargo Business Development Company Index,2011-04-27,ETN,Wells Fargo Business Development Company Index,"The index is a float adjusted, capitalization-weighted Index that is intended to measure the performance of all Business Development Companies that are listed on the New York Stock Exchange or NASDAQ and satisfy specified market capitalization and other eligibility requirements. To qualify as a BDC, the company must be registered with the Securities and Exchange Commission and have elected to be regulated as a BDC under the Investment Company Act of 1940.",Financials Equities,UBS,0.85%,$0.47,7.00%,$54.70 ,2," 16,631 ", 1.12 ,Equity,,,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
BDG,DB Base Metals Long ETN,2008-06-16,ETN,Deutsche Bank Liquid Commodity Index-Optimum Yield Industrial Metals,"The Index is a rules-based index composed of futures contracts on some of the most liquid and widely used base metals - aluminum, zinc and copper (grade A). The index is intended to reflect the performance of the industrial metals sector.",Metals,Invesco PowerShares,0.75%,,,$1.30 ,0.1, 271 , (11.67),Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
BDH,HOLDRS Broadband,2000-04-05,Grantor Trust,,This ETF is not linked to a specific benchmark.,Technology Equities,Merrill Lynch HOLDRs,,$0.01,1.20%,$15.90 ,1.2," 9,797 ", 1.27 ,Equity,,,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
BFOR,Barron's 400 ETF,2013-06-04,ETF,Barron&#x27;s 400,"The index &quot;collects the most fundamentally sound and attractively priced stocks from all corners of the market, using a proven and disciplined stock-selection process.&quot; It does not strive to be a benchmark representing the overall market but rather to give investors access to America's most promising stocks",All Cap Equities,ALPS,0.65%,,,$202.20 ,6.8," 86,334 ", 1.32 ,Equity,Multi-Cap,Value,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
BHH,HOLDRS B2B Internet,2000-02-23,Grantor Trust,,This ETF is not linked to a specific benchmark.,Technology Equities,Merrill Lynch HOLDRs,,$1.92,,$13.40 ,14.1," 193,662 ", (2.58),Equity,,,North America,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
BIB,Ultra Nasdaq Biotechnology,2010-04-06,ETF,NASDAQ Biotechnology Index (200%),The index contains NASDAQ listed companies classified as either biotechnology or pharmaceuticals companies.,Leveraged Equities,ProShares,0.95%,$0.04,0.16%,$224.10 ,1.5," 60,595 ", 3.97 ,Equity,,,North America,,,,,,,,,,,,2x,,click,click,,,,,,,,,,,,,
BICK,BICK Index Fund,2010-04-12,ETF,ISE BICK Index,"The index is designed to track the largest and most liquid public companies that are domiciled in Brazil, India, Mainland China and South Korea.",Emerging Markets Equities,First Trust,0.64%,$0.10,1.85%,$19.60 ,0.8," 2,167 ", 2.10 ,Equity,Large-Cap,Blend,Emerging Markets,11.44%,4.10%,8.40%,4.04%,9.40%,30.20%,2.32%,10.08%,1.75%,14.35%,1.90%,,,click,click,,,,,,,,,,,,,
BIK,SPDR S&P BRIC 40,2007-06-19,ETF,S&P BRIC 40 Index,"The S&amp;P BRIC 40 Index includes a subset of the constituents of the S&amp;P/IFC Investable (S&amp;P/IFCI) country indices for Brazil, Russia, India or China. The S&amp;P/IFCI Index series is designed to measure the type of returns foreign portfolio investors might receive from investing in emerging market stocks that are legally and practically available to them. Constituents for the S&amp;P/IFCI series are drawn from the S&amp;P/IFC Global stock universe based on size, liquidity and their legal and practical availability to foreign institutional investors.",Emerging Markets Equities,State Street SPDR,0.50%,$0.13,3.51%,$237.70 ,10.1," 89,872 ", (1.85),Equity,,,Emerging Markets,6.19%,9.67%,0.00%,6.60%,25.76%,38.64%,0.00%,0.00%,0.00%,10.83%,0.00%,,,click,click,,,,,,,,,,,,,
BIL,SPDR Barclays 1-3 Month T-Bill ETF,2007-05-25,ETF,Barclays Capital U.S. 1-3 Month Treasury Bill Index,"The Barclays Capital 1-3 Month U.S. Treasury Bill Index includes all publicly issued zero-coupon U.S. Treasury Bills that have a remaining maturity of less than 3 months and more than 1 month, are rated investment grade, and have $250 million or more of outstanding face value. In addition, the securities must be denominated in U.S. dollars and must be fixed rate and non convertible.",Money Market,State Street SPDR,0.13%,$0.00,0.34%,"$1,089.30 ",23.8," 866,997 ", 0.03 ,Bond,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
BIV,Intermediate-Term Bond ETF,2007-04-03,ETF,Barclays U.S. 5,"This index includes all medium and larger issues of U.S. government, investment-grade corporate, and investment-grade international dollar-denominated bonds that have maturities between 5 and 10 years and are publicly issued.",Total Bond Market,Vanguard,0.11%,$0.21,3.23%,"$3,696.80 ",45.3," 264,934 ", (0.50),Bond,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
BIZD,Market Vectors BDC Income ETF,2013-02-11,ETF,Market Vectors US Business Development Companies Index,The Index is a rules-based index intended to track the overall performance of publicly traded business development companies.,Financials Equities,Van Eck,0.40%,$0.33,3.77%,$25.00 ,1.2," 8,831 ", 1.32 ,Equity,,,North America,0.00%,0.00%,0.00%,0.00%,0.00%,95.63%,0.00%,4.06%,0.00%,0.00%,0.00%,,,click,click,,,,,,,,,,,,,
BJK,Market Vectors Gaming ETF,2008-01-22,ETF,S-Network Global Gaming Index,The Index provides exposure to publicly traded companies worldwide that derive greater than 50% of revenues from the global gaming industry.,Consumer Discretionary Equities,Van Eck,0.65%,$0.52,0.99%,$81.30 ,1.6," 29,052 ", 1.49 ,Equity,,,Global,0.00%,0.00%,94.24%,0.00%,0.00%,2.01%,0.00%,0.80%,0.00%,2.85%,0.00%,,,click,click,,,,,,,,,,,,,
BKF,MSCI BRIC Index Fund,2007-11-12,ETF,MSCI BRIC Index,"The index measures the combined equity market performance in Brazil, Russia, India, and China.",Emerging Markets Equities,iShares,0.69%,$0.23,2.48%,$502.10 ,13.4," 84,120 ", (1.95),Equity,,,Emerging Markets,6.41%,7.47%,4.82%,8.96%,16.47%,27.54%,1.82%,4.84%,2.32%,6.69%,2.44%,,,click,click,,,,,,,,,,,,,
BKLN,Senior Loan Portfolio,2011-03-03,ETF,S&P/LSTA U.S. Leveraged Loan 100 Index,"The index is designed to track the market-weighted performance of the largest institutional leveraged loans based on market weightings, spreads and interest payments.",High Yield Bonds,Invesco PowerShares,0.66%,$0.08,4.41%,"$6,400.80 ",258.2," 2,513,894 ", 0.14 ,Bond,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
BLND,DJ-UBS Commodity Index 2-4-6 Blended Futures ETN,2012-04-26,ETN,Dow Jones-UBS Commodity Index 2-4-6 Forward Blend Total Return,The index provides diversified exposure across multiple commodity futures maturities. The Index seeks to limit concentration at any one point on the commodity futures price curves.,Commodities,UBS,0.70%,,,$9.40 ,0.4," 9,097 ", (1.30),Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
BLNG,Pure Beta Precious Metals ETN,2011-04-21,ETN,Barclays Capital Commodity Index Precious Metals Pure Beta TR,"The index is comprised of a basket of exchange traded futures contracts, and uses an allocation methodology designed to mitigate the effects of certain distortions in the commodity markets on such returns. Unlike many commodity indices which roll their exposure to the corresponding futures contract on a monthly basis in accordance with a pre-determined roll schedule, the Index may roll into one of a number of futures contracts with varying expiration dates, as selected using the Barclays Capital Pure Beta Series 2 Methodology.",Precious Metals,Barclays iPath,0.75%,,,$1.80 ,0.1, 579 , (5.71),Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
BLV,Long-Term Bond ETF,2007-04-03,ETF,Barclays U.S. Long Government/Credit Float Adjusted Index,"The Barclays Capital Long Government/Credit Index measures the investment return of all medium and larger public issues of U.S. Treasury, agency, investment-grade corporate, and investment-grade international dollar-denominated bonds with maturities longer than 10 years. The average maturity is approximately 20 years.",Total Bond Market,Vanguard,0.11%,$0.32,4.45%,$489.80 ,6," 74,691 ", (0.97),Bond,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
BND,Total Bond Market ETF,2007-04-03,ETF,Barclays Capital U.S. Aggregate Bond Index,The index measures the performance of the U.S. investment grade bond market.,Total Bond Market,Vanguard,0.10%,$0.18,2.49%,"$17,845.70 ",223.3," 1,386,830 ", (0.36),Bond,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
BNDX,Total International Bond ETF,2013-06-04,,Barclays Global Aggregate ex-USD Float-Adjusted Index (Hedged),"The index is designed to measure the universe of global non-U.S. dollar-denominated government, government agency, corporate, and securitized investment-grade fixed-income investments",Total Bond Market,Vanguard,0.20%,$0.05,0.72%,$810.10 ,16.4," 125,958 ", (0.19),Bond,,,Global ex-U.S.,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
BNO,United States Brent Oil Fund,2010-06-02,Commodity Pool,Brent Oil,This objective of this ETF is for the daily changes in percentage terms of its units' net asset value to reflect the daily changes in percentage terms of the spot price of Brent crude oil as measured by the changes in the price of the futures contract on Brent crude oil as traded on the ICE Futures Exchange.,Oil &amp; Gas,US Commodity Funds,0.94%,,,$28.80 ,0.7," 52,041 ", 1.52 ,Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
BNPC,STREAM S&P Dynamic Roll Global Commodities Fund,2012-06-04,Commodity Pool,S&P GSCI Dynamic Roll Excess Return Index,"The index aims to reflect the return of an investment in a world production-weighted portfolio comprised of the principal physical commodities that are the subject of active, liquid futures markets. The index employs a flexible and systematic futures contract rolling methodology which seeks to maximize yield from rolling long futures contracts in certain markets (backwardated markets) and minimize roll loss from rolling long futures contracts in certain markets (contangoed markets).",Commodities,BNP Paribas,0.65%,,,$19.20 ,0.7," 3,247 ", (0.95),Commodity,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
BNZ,Dreyfus New Zealand Dollar Fund,2008-06-25,ETF,,This ETF is not linked to a specific benchmark.,Currency,WisdomTree,0.45%,$0.13,,$29.30 ,1.2," 71,686 ", (1.24),Currency,,,,,,,,,,,,,,,,,click,click,,,,,,,,,,,,,
BOIL,Ultra DJ-UBS Natural Gas,2011-10-06,Commodity Pool,Dow Jones-UBS Natural Gas Subindex (200%),"The index includes the contract in the Dow Jones-UBS Commodity Index Total Return that relates to a single commodity, natural gas (currently the Henry Hub Natural Gas futures contract traded on the NYMEX).",Leveraged Commodities,ProShares,0.95%,,,$67.40 ,1.6," 236,070 ", 5.12 ,Commodity,,,,,,,,,,,,,,,2x,,click,click,,,,,,,,,,,,,
BOM,DB Base Metals Dble Shrt ETN,2008-06-16,ETN,Deutsche Bank Liquid Commodity Index-Optimum Yield Industrial Metals (-200%),"The index is designed to reflect the performance of certain futures contracts on aluminum, copper and zinc plus the returns from investing in 3 month United States Treasury Bills.",Leveraged Commodities,Invesco PowerShares,0.75%,,,$4.10 ,0.3," 2,067 ", (5.59),Commodity,,,,,,,,,,,,,,,2x,Yes,click,click,,,,,,,,,,,,,
